GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC06_EST_VC04,HC06_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC06_EST_VC05,HC06_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,Total; Margin of Error; Civilian employed population 16 years and over,Employee of private company workers; Estimate; Civilian employed population 16 years and over,Employee of private company workers; Margin of Error; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over","Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over,"Total; Estimate; Management, business, science, and arts occupations","Total; Margin of Error; Management, business, science, and arts occupations","Employee of private company workers; Estimate; Management, business, science, and arts occupations","Employee of private company workers; Margin of Error; Management, business, science, and arts occupations","Self-employed in own incorporated business workers; Estimate; Management, business, science, and arts occupations","Self-employed in own incorporated business workers; Margin of Error; Management, business, science, and arts occupations","Private not-for-profit wage and salary workers; Estimate; Management, business, science, and arts occupations","Private not-for-profit wage and salary workers; Margin of Error; Management, business, science, and arts occupations","Local, state, and federal government workers; Estimate; Management, business, science, and arts occupations","Local, state, and federal government workers; Margin of Error; Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Management, business, science, and arts occupations",Total; Estimate; Service occupations,Total; Margin of Error; Service occupations,Employee of private company workers; Estimate; Service occupations,Employee of private company workers; Margin of Error; Service occupations,Self-employed in own incorporated business workers; Estimate; Service occupations,Self-employed in own incorporated business workers; Margin of Error; Service occupations,Private not-for-profit wage and salary workers; Estimate; Service occupations,Private not-for-profit wage and salary workers; Margin of Error; Service occupations,"Local, state, and federal government workers; Estimate; Service occupations","Local, state, and federal government workers; Margin of Error; Service occupations",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Service occupations,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Service occupations,Total; Estimate; Sales and office occupations,Total; Margin of Error; Sales and office occupations,Employee of private company workers; Estimate; Sales and office occupations,Employee of private company workers; Margin of Error; Sales and office occupations,Self-employed in own incorporated business workers; Estimate; Sales and office occupations,Self-employed in own incorporated business workers; Margin of Error; Sales and office occupations,Private not-for-profit wage and salary workers; Estimate; Sales and office occupations,Private not-for-profit wage and salary workers; Margin of Error; Sales and office occupations,"Local, state, and federal government workers; Estimate; Sales and office occupations","Local, state, and federal government workers; Margin of Error; Sales and office occupations",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Sales and office occupations,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Sales and office occupations,"Total; Estimate; Natural resources, construction, and maintenance occupations","Total; Margin of Error; Natural resources, construction, and maintenance occupations","Employee of private company workers; Estimate; Natural resources, construction, and maintenance occupations","Employee of private company workers; Margin of Error; Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers; Estimate; Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers; Margin of Error; Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers; Estimate; Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers; Margin of Error; Natural resources, construction, and maintenance occupations","Local, state, and federal government workers; Estimate; Natural resources, construction, and maintenance occupations","Local, state, and federal government workers; Margin of Error; Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Natural resources, construction, and maintenance occupations","Total; Estimate; Production, transportation, and material moving occupations","Total; Margin of Error; Production, transportation, and material moving occupations","Employee of private company workers; Estimate; Production, transportation, and material moving occupations","Employee of private company workers; Margin of Error; Production, transportation, and material moving occupations","Self-employed in own incorporated business workers; Estimate; Production, transportation, and material moving occupations","Self-employed in own incorporated business workers; Margin of Error; Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers; Estimate; Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers; Margin of Error; Production, transportation, and material moving occupations","Local, state, and federal government workers; Estimate; Production, transportation, and material moving occupations","Local, state, and federal government workers; Margin of Error; Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Production, transportation, and material moving occupations",Total; Estimate; PERCENT IMPUTED - Occupation,Total; Margin of Error; PERCENT IMPUTED - Occupation,Employee of private company workers; Estimate; PERCENT IMPUTED - Occupation,Employee of private company workers; Margin of Error; PERCENT IMPUTED - Occupation,Self-employed in own incorporated business workers; Estimate; PERCENT IMPUTED - Occupation,Self-employed in own incorporated business workers; Margin of Error; PERCENT IMPUTED - Occupation,Private not-for-profit wage and salary workers; Estimate; PERCENT IMPUTED - Occupation,Private not-for-profit wage and salary workers; Margin of Error; PERCENT IMPUTED - Occupation,"Local, state, and federal government workers; Estimate; PERCENT IMPUTED - Occupation","Local, state, and federal government workers; Margin of Error; PERCENT IMPUTED - Occupation",Self-employed in own not incorporated business workers and unpaid family workers; Estimate; PERCENT IMPUTED - Occupation,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; PERCENT IMPUTED - Occupation
0400000US01,01,Alabama,2030482,13376,69.0,0.6,2.7,0.2,6.9,0.3,16.0,0.5,5.4,0.2,667732,10985,53.9,1.1,4.3,0.3,12.3,0.6,25.6,1.0,3.9,0.4,346739,8009,64.8,1.3,1.8,0.4,6.6,0.8,17.8,1.2,9.0,0.8,488811,10297,78.6,0.9,2.5,0.3,5.0,0.5,10.5,0.7,3.5,0.4,197399,7322,73.4,1.4,2.9,0.6,2.0,0.5,8.3,1.0,13.4,1.0,329801,9561,87.2,1.0,1.0,0.3,2.0,0.4,7.2,0.7,2.6,0.4,12.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US02,02,Alaska,352531,5376,54.4,1.4,3.7,0.5,10.0,0.9,25.3,1.0,6.6,0.6,126068,4976,34.7,2.0,5.3,0.9,17.0,1.8,36.9,2.2,6.0,1.0,65721,4595,56.6,3.4,1.8,0.8,9.1,1.9,22.6,2.8,9.8,2.0,74123,4311,68.2,2.8,3.0,0.9,6.0,1.1,19.3,2.4,3.5,1.0,45538,2946,65.8,3.8,5.1,1.9,3.2,1.5,16.3,2.8,9.5,1.6,41081,3327,73.8,3.4,1.6,1.1,4.2,1.3,14.9,2.9,5.5,1.8,10.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US04,04,Arizona,2866629,19029,69.8,0.6,3.4,0.2,6.4,0.3,14.1,0.3,6.4,0.3,1006389,15876,58.2,0.9,4.9,0.3,11.2,0.5,20.8,0.6,5.0,0.4,574748,14707,68.7,1.2,1.7,0.3,5.0,0.4,15.7,0.7,8.9,0.8,740285,13978,78.6,0.7,3.2,0.3,4.5,0.4,9.1,0.6,4.7,0.4,265571,8482,76.0,1.5,3.7,0.7,1.4,0.4,6.3,0.7,12.6,1.3,279636,8991,84.3,1.3,1.8,0.4,2.3,0.5,7.0,0.8,4.7,0.7,14.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1269092,12369,67.4,0.8,3.0,0.2,7.1,0.4,15.9,0.5,6.6,0.3,411029,9723,49.8,1.4,4.5,0.5,13.4,0.8,26.0,1.2,6.3,0.6,227279,8821,64.8,1.8,1.5,0.4,5.8,0.9,18.7,1.4,9.0,1.0,297605,7842,77.2,1.4,2.4,0.4,5.2,0.7,11.3,0.9,3.9,0.6,135459,5855,73.9,2.0,3.9,1.0,1.4,0.6,5.7,1.0,15.1,1.6,197720,7055,87.9,1.3,1.5,0.5,2.1,0.6,5.6,1.0,2.9,0.5,9.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US06,06,California,17638152,36488,68.5,0.2,3.3,0.1,6.5,0.1,13.3,0.1,8.4,0.1,6627679,38297,56.7,0.4,5.1,0.2,11.0,0.2,19.1,0.2,8.0,0.2,3295619,31563,65.6,0.4,1.7,0.1,4.6,0.2,15.9,0.3,12.2,0.3,4135547,28394,77.0,0.3,3.0,0.1,4.6,0.1,9.3,0.2,6.1,0.2,1602968,19511,78.1,0.6,2.6,0.2,1.9,0.2,5.1,0.3,12.3,0.5,1976339,21728,87.1,0.4,1.5,0.1,2.2,0.2,4.5,0.2,4.7,0.2,13.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US08,08,Colorado,2699282,13014,67.9,0.5,4.7,0.2,7.8,0.3,13.2,0.3,6.4,0.3,1086883,14606,56.1,0.7,5.9,0.3,12.9,0.5,18.8,0.5,6.3,0.4,477846,11362,69.1,1.1,2.7,0.4,5.4,0.6,14.6,0.9,8.3,0.7,625052,10578,77.7,0.9,4.4,0.5,5.4,0.5,8.4,0.6,4.1,0.3,265767,8605,76.2,1.5,6.0,0.8,2.2,0.6,5.2,0.7,10.5,1.0,243734,7537,83.9,1.3,2.5,0.7,2.4,0.5,6.6,0.8,4.6,0.7,13.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,1798758,11166,67.8,0.5,3.4,0.2,9.5,0.3,13.0,0.4,6.3,0.3,764237,11793,57.5,0.7,4.4,0.4,14.6,0.5,18.0,0.7,5.5,0.4,314538,9422,66.4,1.2,1.7,0.4,8.5,0.8,15.2,0.9,8.2,1.0,411634,9242,79.0,0.9,3.0,0.5,5.5,0.5,8.3,0.7,4.2,0.5,134063,6155,68.0,1.8,6.1,1.0,2.3,0.6,6.3,1.2,17.3,1.6,174286,7896,89.1,1.3,1.1,0.3,3.4,0.8,3.3,0.8,3.0,0.7,11.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US10,10,Delaware,441144,5793,69.7,1.2,3.3,0.5,8.4,0.7,14.4,0.9,4.2,0.5,171267,5245,57.3,2.0,4.8,1.0,13.2,1.3,20.6,1.6,4.0,0.6,79562,4637,72.4,2.4,1.6,0.6,7.1,1.6,13.9,1.6,5.1,1.1,104546,4620,78.4,2.3,2.3,0.7,6.4,1.3,10.0,1.4,2.9,0.7,35191,3291,79.5,3.7,4.2,1.6,1.7,0.9,5.8,2.0,8.8,2.8,50578,4035,82.5,3.0,2.6,1.4,3.0,1.1,8.8,2.1,3.0,1.0,13.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,345592,5578,49.2,1.3,3.6,0.5,19.5,1.2,23.7,1.1,4.0,0.5,207506,4843,38.8,1.5,3.7,0.6,25.1,1.4,28.3,1.4,4.1,0.6,53709,3933,68.2,3.1,3.3,1.6,8.3,2.1,14.6,2.4,5.6,1.8,61143,4164,62.1,2.8,3.3,1.1,13.6,2.3,19.3,2.3,1.6,0.8,9456,1679,66.0,8.2,5.0,5.4,11.9,6.8,14.9,5.4,2.1,2.1,13778,1770,62.9,7.1,5.1,3.1,9.6,4.2,14.8,4.9,7.6,4.4,15.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
