Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
AK,Alaska,Demographics,Race,What is your race/ethnicity?,Black,54,4.5,3.2,5.8,"1,247",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Sex,Gender of respondent,Male,"1,967",52.2,50.1,54.2,"2,078",%,"(64.84507995700051, -147.72205903599973)"
AK,Alaska,Demographics,Sex,Gender of respondent,Female,"2,421",47.8,45.8,49.9,"2,079",%,"(64.84507995700051, -147.72205903599973)"
AZ,Arizona,Demographics,Sex,Gender of respondent,Male,"5,982",49.3,48,50.7,"2,089",%,"(34.865970280000454, -111.76381127699972)"
AZ,Arizona,Demographics,Sex,Gender of respondent,Female,"8,885",50.7,49.4,52.1,"2,090",%,"(34.865970280000454, -111.76381127699972)"
AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,887",40.1,38.5,41.6,"2,907",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"5,415",59.9,58.4,61.5,"2,908",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,677,12,10.9,13.1,"2,953",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"7,553",88,86.9,89.1,"2,954",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,322,4.5,3.9,5.1,"2,999",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"7,886",95.5,94.9,96.2,"3,000",%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"3,914",34,32.7,35.3,896,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,693",66,64.7,67.3,897,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,879,9.6,8.7,10.4,712,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"7,699",90.5,89.6,91.3,713,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,263",14.6,13.5,15.7,666,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"7,357",85.4,84.3,86.5,667,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,678,5.6,5,6.1,574,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"7,848",94.5,93.9,95,575,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,644,5.9,5.2,6.5,528,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"7,953",94.2,93.5,94.8,529,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,536,4.7,4.2,5.3,620,%,"(32.84057112200048, -86.63186076199969)"
AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"8,089",95.3,94.7,95.8,621,%,"(32.84057112200048, -86.63186076199969)"
